student_id,gender,age,study_hours_per_day,attendance_pct,sleep_hours,extra_curricular,internet_access,parent_education,math_score,science_score,english_score,history_score,cs_score,avg_score,grade,pass_fail,score_band
STU0020,Female,19,2.2,87.0,7.5,Yes,Yes,High School,43.6,36.4,31.4,33.4,20.6,33.08,F,Fail,Below 40
STU0021,Female,18,7.9,58.0,7.6,No,Yes,Bachelor,52.8,55.2,36.6,60.1,43.6,49.66,D,Pass,40–55
STU0022,Male,19,4.5,84.5,6.3,Yes,Yes,High School,54.3,57.3,27.9,21.6,38.6,39.94,F,Fail,Below 40
STU0023,Female,18,5.1,70.0,7.0,Yes,No,Bachelor,45.7,49.5,43.1,56.9,42.4,47.52,D,Pass,40–55
STU0024,Female,17,2.2,84.8,9.6,No,Yes,Master,33.3,40.9,30.1,45.3,31.3,36.18,F,Fail,Below 40
STU0025,Male,18,3.9,68.8,9.1,Yes,Yes,Bachelor,54.5,36.8,32.4,31.7,41.8,39.44,F,Fail,Below 40
STU0026,Male,17,5.2,56.3,7.5,No,Yes,High School,44.9,41.3,42.7,43.2,32.9,41.0,D,Pass,40–55
STU0027,Female,15,2.7,58.5,7.0,Yes,Yes,High School,32.9,39.6,36.5,28.4,27.9,33.06,F,Fail,Below 40
STU0028,Male,18,5.8,78.6,7.1,Yes,Yes,Bachelor,36.4,34.6,44.7,58.9,56.1,46.14,D,Pass,40–55
STU0029,Female,19,3.8,81.1,7.7,Yes,Yes,Bachelor,29.2,36.4,37.1,49.4,42.3,38.88,F,Fail,Below 40
STU0030,Female,17,4.4,67.1,5.8,Yes,Yes,Master,40.2,30.9,41.3,23.8,37.3,34.7,F,Fail,Below 40
STU0031,Male,19,3.8,85.7,6.7,No,Yes,Master,42.0,44.3,31.4,46.8,36.1,40.12,D,Pass,40–55
STU0032,Male,16,8.7,58.1,5.0,Yes,Yes,Bachelor,47.3,63.3,53.8,50.2,47.2,52.36,D,Pass,40–55
STU0033,Male,17,5.0,77.2,7.5,No,Yes,High School,44.2,37.7,46.9,43.9,36.2,41.78,D,Pass,40–55
STU0034,Male,18,2.9,63.5,7.8,No,Yes,High School,43.3,9.1,35.3,23.3,26.3,27.46,F,Fail,Below 40
STU0035,Male,17,6.6,70.2,6.4,No,No,High School,53.2,43.9,34.1,65.1,53.7,50.0,D,Pass,40–55
STU0036,Female,19,2.6,78.6,8.9,No,Yes,High School,24.7,42.0,28.5,44.2,32.0,34.28,F,Fail,Below 40
STU0037,Male,15,5.4,67.7,5.5,No,Yes,Bachelor,41.1,46.8,35.8,34.6,31.2,37.9,F,Fail,Below 40
STU0038,Female,17,1.1,73.4,5.2,No,Yes,Bachelor,19.9,30.2,27.0,13.0,40.5,26.12,F,Fail,Below 40
STU0039,Male,18,2.3,90.1,7.3,Yes,Yes,Bachelor,33.3,33.9,39.8,32.5,39.0,35.7,F,Fail,Below 40
STU0040,Female,16,5.4,71.1,8.3,Yes,Yes,High School,39.6,31.4,53.4,47.2,31.6,40.64,D,Pass,40–55
STU0041,Male,15,6.5,88.0,9.0,No,Yes,High School,48.5,57.0,48.9,54.7,48.8,51.58,D,Pass,40–55
STU0042,Male,16,5.3,64.4,6.4,No,Yes,High School,30.7,33.2,37.2,53.2,41.6,39.18,F,Fail,Below 40
STU0043,Female,17,4.8,84.4,8.3,No,Yes,High School,43.4,64.0,52.4,52.3,58.0,54.02,D,Pass,40–55
STU0044,Female,19,4.4,95.3,7.0,No,Yes,Master,41.7,51.3,48.3,55.9,37.3,46.9,D,Pass,40–55
STU0045,Male,19,2.0,48.3,6.8,No,Yes,No Education,0.0,17.4,31.5,25.9,30.5,21.06,F,Fail,Below 40
STU0046,Female,18,3.6,68.4,8.1,No,Yes,Bachelor,51.2,29.3,36.8,20.9,46.0,36.84,F,Fail,Below 40
STU0047,Male,19,4.1,84.9,7.8,No,Yes,High School,50.5,41.0,33.7,39.8,36.8,40.36,D,Pass,40–55
STU0048,Female,15,7.1,75.6,5.1,Yes,Yes,Master,48.1,49.0,41.8,61.7,48.9,49.9,D,Pass,40–55
STU0049,Male,19,5.7,82.5,8.8,No,Yes,Bachelor,47.6,57.5,36.6,47.0,39.2,45.58,D,Pass,40–55
STU0050,Male,18,1.5,70.8,8.7,Yes,Yes,High School,17.7,28.8,31.8,32.2,25.5,27.2,F,Fail,Below 40
STU0051,Female,17,5.6,79.0,6.2,Yes,Yes,Bachelor,59.9,39.7,54.6,43.1,46.0,48.66,D,Pass,40–55
STU0052,Female,17,4.2,76.1,7.5,No,Yes,Bachelor,54.9,56.8,52.7,29.5,45.0,47.78,D,Pass,40–55
STU0053,Male,19,3.6,92.0,7.6,Yes,Yes,PhD,43.4,42.6,48.1,41.0,50.9,45.2,D,Pass,40–55
STU0054,Female,16,6.2,81.1,7.3,Yes,Yes,High School,57.4,56.1,57.3,52.3,43.2,53.26,D,Pass,40–55
STU0055,Female,17,7.1,82.1,6.3,Yes,Yes,Master,54.3,47.4,48.8,46.3,37.1,46.78,D,Pass,40–55
STU0056,Male,19,6.9,73.1,6.2,No,No,Master,38.7,52.6,41.3,47.0,49.2,45.76,D,Pass,40–55
STU0057,Female,18,3.3,72.1,7.0,No,Yes,Master,31.6,37.7,40.9,25.5,37.3,34.6,F,Fail,Below 40
STU0058,Male,19,4.4,72.8,8.4,No,Yes,Bachelor,40.4,22.4,42.3,50.6,41.4,39.42,F,Fail,Below 40
STU0059,Female,17,5.7,82.7,7.7,No,Yes,Bachelor,43.8,65.6,48.2,44.5,44.9,49.4,D,Pass,40–55
STU0060,Female,18,7.0,72.9,6.6,No,Yes,Bachelor,47.9,61.3,52.4,64.2,50.7,55.3,C,Pass,55–70
STU0061,Female,19,4.0,81.5,7.9,Yes,Yes,Bachelor,39.9,37.0,42.9,55.9,52.7,45.68,D,Pass,40–55
STU0062,Male,15,4.6,100.0,4.0,No,No,Bachelor,47.9,38.6,57.5,47.7,51.6,48.66,D,Pass,40–55
STU0063,Male,18,2.8,88.5,8.4,No,No,Bachelor,38.1,40.8,46.8,27.6,34.7,37.6,F,Fail,Below 40
STU0064,Male,15,2.6,74.1,4.9,No,Yes,Bachelor,24.2,33.4,36.5,11.8,28.7,26.92,F,Fail,Below 40
STU0065,Male,16,6.6,92.4,6.6,Yes,No,Bachelor,48.5,57.4,60.1,39.5,52.9,51.68,D,Pass,40–55
STU0066,Male,18,7.7,73.1,5.7,No,No,Master,42.5,54.5,56.4,39.0,65.9,51.66,D,Pass,40–55
STU0067,Female,15,4.9,53.5,5.4,No,Yes,High School,43.3,40.0,32.3,49.3,34.0,39.78,F,Fail,Below 40
STU0068,Male,17,7.0,65.9,8.4,Yes,Yes,Master,31.0,60.8,53.1,49.0,47.6,48.3,D,Pass,40–55
STU0069,Male,17,5.7,55.6,6.4,No,Yes,Bachelor,48.8,44.7,29.8,43.5,35.7,40.5,D,Pass,40–55
STU0070,Female,16,3.7,73.8,7.4,Yes,Yes,Master,48.1,27.5,44.4,14.8,45.8,36.12,F,Fail,Below 40
STU0071,Male,18,5.7,78.2,6.9,Yes,Yes,Bachelor,43.9,58.6,38.0,34.4,62.0,47.38,D,Pass,40–55
STU0072,Female,18,8.1,98.1,7.6,No,Yes,High School,40.9,76.5,63.7,70.6,65.3,63.4,C,Pass,55–70
STU0073,Male,18,4.9,81.9,7.1,Yes,No,Master,41.4,72.7,38.4,47.2,45.0,48.94,D,Pass,40–55
STU0074,Female,16,8.1,75.4,5.5,No,Yes,High School,54.6,45.0,59.0,53.7,55.4,53.54,D,Pass,40–55
STU0075,Male,18,1.0,88.0,8.2,No,Yes,Master,22.3,32.6,30.1,36.0,11.3,26.46,F,Fail,Below 40
STU0076,Male,17,6.6,51.5,6.4,Yes,Yes,Bachelor,37.9,23.3,30.9,58.4,48.0,39.7,F,Fail,Below 40
STU0077,Female,15,5.2,80.8,5.1,No,No,Bachelor,57.2,49.9,47.9,42.7,46.0,48.74,D,Pass,40–55
STU0078,Male,17,4.4,87.3,6.5,Yes,No,High School,49.1,38.8,39.7,44.5,47.2,43.86,D,Pass,40–55
STU0079,Female,17,5.2,60.3,8.8,Yes,Yes,Bachelor,31.4,56.1,45.0,40.7,33.1,41.26,D,Pass,40–55
STU0080,Male,15,1.0,91.7,8.0,Yes,Yes,High School,18.8,24.6,31.6,55.5,28.5,31.8,F,Fail,Below 40
STU0081,Male,17,4.6,82.1,6.6,Yes,Yes,No Education,40.2,27.7,45.6,21.9,39.6,35.0,F,Fail,Below 40
STU0082,Female,16,5.7,73.0,6.6,Yes,Yes,High School,43.1,40.5,38.1,51.6,52.9,45.24,D,Pass,40–55
STU0083,Male,15,8.0,85.6,6.6,No,Yes,No Education,61.5,39.7,53.4,56.4,54.5,53.1,D,Pass,40–55
STU0084,Female,17,4.0,100.0,9.5,No,Yes,PhD,41.6,52.6,42.6,51.5,62.5,50.16,D,Pass,40–55
STU0085,Female,19,3.4,80.2,7.5,Yes,Yes,PhD,41.7,19.0,43.6,31.0,41.0,35.26,F,Fail,Below 40
STU0086,Female,17,4.0,81.0,7.5,No,Yes,High School,55.8,40.5,52.0,39.8,30.1,43.64,D,Pass,40–55
STU0087,Female,16,6.8,72.5,8.2,No,Yes,Bachelor,55.6,30.4,43.4,56.2,48.0,46.72,D,Pass,40–55
STU0088,Male,18,5.7,67.8,7.3,No,Yes,High School,42.6,40.1,50.5,74.1,37.8,49.02,D,Pass,40–55
STU0089,Male,17,3.9,88.0,6.7,No,Yes,Bachelor,40.7,56.9,27.0,50.2,24.6,39.88,F,Fail,Below 40
STU0090,Male,18,6.0,67.7,6.8,Yes,Yes,Master,41.6,47.7,36.1,35.9,57.2,43.7,D,Pass,40–55
STU0091,Female,19,5.2,78.9,6.9,Yes,Yes,Master,53.9,36.7,37.7,40.2,50.1,43.72,D,Pass,40–55
STU0092,Female,17,6.9,72.3,7.0,No,Yes,Bachelor,44.4,49.1,40.0,44.9,53.7,46.42,D,Pass,40–55
STU0093,Male,15,3.6,83.7,7.9,No,Yes,Bachelor,39.9,39.7,28.4,21.6,40.8,34.08,F,Fail,Below 40
STU0094,Female,18,4.3,82.0,7.1,Yes,Yes,High School,42.4,46.2,44.9,38.7,30.9,40.62,D,Pass,40–55
STU0095,Male,19,4.2,90.5,7.9,Yes,Yes,PhD,40.0,31.7,42.5,51.3,40.1,41.12,D,Pass,40–55
STU0096,Female,15,2.1,71.9,6.9,No,Yes,No Education,18.9,35.2,32.5,17.1,36.6,28.06,F,Fail,Below 40
STU0097,Male,15,5.6,74.8,7.1,No,Yes,Bachelor,47.4,20.5,49.6,55.3,36.4,41.84,D,Pass,40–55
STU0098,Female,15,5.5,66.3,4.6,No,Yes,Bachelor,41.5,36.3,43.8,46.8,21.7,38.02,F,Fail,Below 40
STU0099,Female,15,5.0,72.7,8.1,No,No,Bachelor,45.8,37.4,46.4,34.5,40.0,40.82,D,Pass,40–55
STU0100,Male,17,4.5,82.5,7.4,Yes,Yes,High School,38.6,48.6,42.4,41.5,41.7,42.56,D,Pass,40–55
STU0101,Male,17,2.2,87.1,8.2,No,Yes,Master,44.6,35.0,26.5,50.8,35.9,38.56,F,Fail,Below 40
STU0102,Male,17,4.2,66.9,4.0,No,No,High School,29.7,24.1,44.1,44.1,42.5,36.9,F,Fail,Below 40
STU0103,Male,19,4.3,88.4,9.5,Yes,Yes,Bachelor,57.5,34.9,39.7,43.9,48.9,44.98,D,Pass,40–55
STU0104,Male,19,3.4,94.3,6.8,No,Yes,High School,27.9,43.7,35.3,39.5,43.9,38.06,F,Fail,Below 40
STU0105,Female,19,4.7,83.0,8.3,No,Yes,High School,47.1,42.9,42.4,44.4,53.2,46.0,D,Pass,40–55
STU0106,Female,16,5.8,100.0,5.8,Yes,Yes,Bachelor,57.0,48.0,46.8,48.1,41.1,48.2,D,Pass,40–55
STU0107,Female,19,8.8,68.7,7.7,No,Yes,Bachelor,49.3,51.4,52.8,34.7,59.7,49.58,D,Pass,40–55
STU0108,Male,17,5.3,63.1,5.7,No,Yes,High School,43.7,46.6,42.7,60.7,45.3,47.8,D,Pass,40–55
STU0109,Female,17,5.5,56.7,6.3,No,No,High School,49.3,34.4,41.5,40.6,29.1,38.98,F,Fail,Below 40
STU0110,Female,16,4.9,96.0,9.3,Yes,No,Bachelor,30.5,47.4,41.9,52.2,36.2,41.64,D,Pass,40–55
STU0111,Male,16,1.2,85.9,6.8,Yes,Yes,Bachelor,34.4,49.9,27.0,29.8,24.4,33.1,F,Fail,Below 40
STU0112,Female,19,4.9,77.3,7.3,No,Yes,Master,23.0,30.2,50.5,35.6,37.7,35.4,F,Fail,Below 40
STU0113,Female,18,5.1,81.4,8.0,Yes,Yes,High School,37.2,28.2,48.4,43.0,50.9,41.54,D,Pass,40–55
STU0114,Male,16,9.9,64.5,7.6,No,No,High School,72.1,66.1,73.6,43.1,54.1,61.8,C,Pass,55–70
STU0115,Male,15,4.6,100.0,7.2,No,No,High School,43.8,42.4,56.7,71.2,41.6,51.14,D,Pass,40–55
STU0116,Female,17,5.6,79.6,7.4,Yes,Yes,No Education,36.9,43.4,54.3,33.9,41.4,41.98,D,Pass,40–55
STU0117,Male,15,4.9,79.3,9.9,No,Yes,Bachelor,41.9,36.5,33.8,33.2,52.5,39.58,F,Fail,Below 40
STU0118,Female,17,2.7,86.7,6.9,No,Yes,Bachelor,53.2,34.3,42.0,32.3,36.8,39.72,F,Fail,Below 40
STU0119,Female,17,7.3,83.8,7.2,Yes,Yes,High School,39.6,68.7,53.9,67.2,52.8,56.44,C,Pass,55–70
STU0120,Female,16,6.5,80.7,8.3,No,Yes,High School,41.8,57.4,46.4,50.4,49.3,49.06,D,Pass,40–55
STU0121,Male,16,6.6,68.5,8.3,No,Yes,No Education,58.9,54.6,48.1,34.5,57.2,50.66,D,Pass,40–55
STU0122,Male,15,3.2,83.7,8.4,No,Yes,Master,52.7,25.1,44.4,50.4,31.8,40.88,D,Pass,40–55
STU0123,Female,17,7.8,100.0,7.8,No,Yes,PhD,60.4,50.9,64.7,68.5,71.7,63.24,C,Pass,55–70
STU0124,Female,15,2.2,94.1,5.6,No,Yes,High School,27.1,11.5,30.9,42.4,38.7,30.12,F,Fail,Below 40
STU0125,Male,18,6.2,97.1,9.0,No,No,High School,70.6,46.5,59.0,61.0,52.5,57.92,C,Pass,55–70
STU0126,Female,15,9.4,71.9,5.6,No,Yes,Master,71.8,67.7,54.6,83.0,79.1,71.24,B,Pass,70–85
STU0127,Female,19,3.0,66.1,7.4,No,Yes,Master,37.3,36.6,33.4,53.8,23.5,36.92,F,Fail,Below 40
STU0128,Male,15,3.9,76.5,6.1,No,Yes,Bachelor,31.9,36.4,36.3,31.5,35.6,34.34,F,Fail,Below 40
STU0129,Male,19,5.2,78.7,6.9,Yes,Yes,High School,44.0,44.2,42.9,60.6,34.5,45.24,D,Pass,40–55
STU0130,Female,19,4.0,91.1,7.4,No,Yes,No Education,42.0,37.1,48.7,47.1,50.9,45.16,D,Pass,40–55
STU0131,Male,19,1.9,57.7,7.4,Yes,Yes,Bachelor,27.5,26.7,17.6,29.9,38.4,28.02,F,Fail,Below 40
STU0132,Male,18,5.1,96.4,7.5,Yes,Yes,High School,61.1,56.3,63.1,32.5,62.8,55.16,C,Pass,55–70
STU0133,Male,15,2.9,76.1,8.9,Yes,Yes,No Education,41.4,19.8,21.6,32.6,44.1,31.9,F,Fail,Below 40
STU0134,Male,15,5.9,72.9,7.5,No,Yes,Bachelor,37.0,48.3,41.5,37.5,44.1,41.68,D,Pass,40–55
STU0135,Female,18,3.2,65.9,6.7,No,Yes,No Education,43.4,40.8,35.0,40.7,29.5,37.88,F,Fail,Below 40
STU0136,Female,17,8.1,58.1,8.2,No,Yes,Bachelor,52.3,46.1,53.9,60.6,36.5,49.88,D,Pass,40–55
STU0137,Male,16,3.4,87.9,8.4,No,Yes,High School,45.6,46.4,39.4,19.4,56.4,41.44,D,Pass,40–55
STU0138,Female,15,4.4,78.9,5.5,No,Yes,No Education,52.8,66.4,40.7,40.9,44.8,49.12,D,Pass,40–55
STU0139,Female,16,6.6,62.5,7.7,No,Yes,Bachelor,36.4,44.3,48.1,56.5,41.3,45.32,D,Pass,40–55
STU0140,Female,18,2.5,62.5,7.8,No,Yes,High School,28.6,32.4,27.3,27.0,39.5,30.96,F,Fail,Below 40
STU0141,Male,17,5.5,74.0,6.6,Yes,Yes,PhD,39.8,37.4,53.8,51.3,36.2,43.7,D,Pass,40–55
STU0142,Male,17,7.6,98.0,8.7,Yes,Yes,Bachelor,47.3,61.5,65.7,63.4,63.1,60.2,C,Pass,55–70
STU0143,Female,17,1.8,74.9,6.8,No,Yes,High School,32.4,33.7,35.7,33.0,28.2,32.6,F,Fail,Below 40
STU0144,Female,18,5.4,60.0,7.2,No,Yes,Bachelor,59.6,41.2,32.7,36.8,44.6,42.98,D,Pass,40–55
STU0145,Male,19,5.5,75.1,6.8,Yes,Yes,High School,29.9,35.4,44.0,32.4,44.1,37.16,F,Fail,Below 40
STU0146,Male,19,6.6,74.7,7.0,Yes,Yes,Master,48.4,50.5,46.6,37.5,37.1,44.02,D,Pass,40–55
STU0147,Male,16,2.5,45.6,5.7,No,No,High School,28.9,37.0,16.8,30.9,24.4,27.6,F,Fail,Below 40
STU0148,Female,19,2.4,77.3,5.3,Yes,Yes,Bachelor,33.6,36.7,35.2,32.8,41.0,35.86,F,Fail,Below 40
STU0149,Female,19,6.0,75.2,8.9,No,Yes,High School,45.8,55.4,43.0,45.4,46.5,47.22,D,Pass,40–55
STU0150,Female,17,5.6,86.4,6.0,No,Yes,Bachelor,37.9,46.1,52.9,44.0,54.5,47.08,D,Pass,40–55
STU0151,Male,17,5.5,100.0,5.8,No,Yes,Master,53.9,58.8,44.5,49.0,43.6,49.96,D,Pass,40–55
STU0152,Female,16,5.7,91.5,4.4,Yes,Yes,Master,44.2,52.7,62.3,60.7,50.0,53.98,D,Pass,40–55
STU0153,Female,15,3.6,74.8,6.2,No,Yes,High School,19.5,28.4,30.7,33.6,32.0,28.84,F,Fail,Below 40
STU0154,Male,16,5.5,64.7,5.4,No,No,High School,50.8,44.1,42.8,27.9,47.3,42.58,D,Pass,40–55
STU0155,Female,16,5.6,100.0,9.0,No,Yes,Master,60.0,43.4,57.9,59.8,52.6,54.74,D,Pass,40–55
STU0156,Female,18,3.6,78.7,8.2,No,Yes,Master,38.3,32.2,33.9,35.8,43.4,36.72,F,Fail,Below 40
STU0157,Male,18,8.7,78.2,6.2,Yes,Yes,High School,60.2,60.1,64.3,58.7,67.1,62.08,C,Pass,55–70
STU0158,Female,16,5.9,77.7,9.7,No,Yes,Bachelor,55.7,49.8,38.5,63.2,52.6,51.96,D,Pass,40–55
STU0159,Male,16,2.6,80.4,8.2,No,Yes,High School,36.4,23.9,44.7,34.4,36.8,35.24,F,Fail,Below 40
STU0160,Female,16,6.3,76.3,6.6,No,Yes,Master,55.4,57.6,48.2,51.0,40.1,50.46,D,Pass,40–55
STU0161,Female,19,3.1,71.1,4.0,Yes,Yes,High School,31.2,38.7,29.4,21.7,33.5,30.9,F,Fail,Below 40
STU0162,Female,18,6.6,71.4,9.7,No,Yes,High School,58.2,41.4,45.6,45.5,43.5,46.84,D,Pass,40–55
STU0163,Female,16,7.3,77.6,5.3,No,No,Bachelor,55.1,38.7,58.2,58.6,49.8,52.08,D,Pass,40–55
STU0164,Male,17,3.4,71.5,5.0,Yes,No,High School,36.4,33.6,30.8,19.3,31.9,30.4,F,Fail,Below 40
STU0165,Female,17,6.9,69.4,8.2,Yes,Yes,Bachelor,38.4,44.5,43.3,50.5,40.7,43.48,D,Pass,40–55
STU0166,Female,19,5.8,79.3,9.9,No,Yes,Bachelor,49.4,48.1,45.5,48.1,31.4,44.5,D,Pass,40–55
STU0167,Male,19,6.6,74.9,8.7,Yes,No,High School,42.4,45.8,40.8,49.5,43.7,44.44,D,Pass,40–55
STU0168,Female,15,8.8,96.0,7.7,Yes,No,High School,58.9,45.9,76.7,74.4,65.5,64.28,C,Pass,55–70
STU0169,Female,15,4.5,46.2,7.7,Yes,Yes,Bachelor,25.4,28.4,27.9,35.2,21.1,27.6,F,Fail,Below 40
STU0170,Male,15,3.5,91.1,8.0,No,Yes,High School,32.8,38.5,47.1,56.1,41.4,43.18,D,Pass,40–55
STU0171,Female,19,3.2,93.0,7.9,No,Yes,Bachelor,57.8,46.5,42.2,30.8,56.0,46.66,D,Pass,40–55
STU0172,Female,19,3.4,53.1,7.3,No,Yes,Master,40.1,23.1,22.5,30.8,37.6,30.82,F,Fail,Below 40
STU0173,Male,19,4.8,73.9,7.1,Yes,No,Bachelor,56.9,56.7,41.5,42.4,54.7,50.44,D,Pass,40–55
STU0174,Female,17,5.7,73.5,6.9,No,Yes,High School,35.0,27.6,50.3,34.1,47.9,38.98,F,Fail,Below 40
STU0175,Male,19,5.6,61.1,6.1,No,No,High School,41.1,52.3,39.2,50.1,49.9,46.52,D,Pass,40–55
STU0176,Male,17,6.7,68.7,6.7,No,Yes,High School,36.9,45.2,55.6,70.5,41.4,49.92,D,Pass,40–55
STU0177,Male,15,5.0,64.7,5.0,No,No,High School,33.9,47.2,46.7,39.3,34.4,40.3,D,Pass,40–55
STU0178,Female,15,7.9,99.0,6.9,Yes,Yes,Bachelor,54.0,62.1,67.8,66.4,39.4,57.94,C,Pass,55–70
STU0179,Female,15,4.5,89.2,5.8,No,Yes,Bachelor,54.6,54.9,41.4,45.5,54.1,50.1,D,Pass,40–55
STU0180,Male,16,10.4,93.3,5.7,Yes,Yes,High School,66.6,66.3,62.2,62.6,82.1,67.96,C,Pass,55–70
STU0181,Male,16,6.3,86.7,7.2,No,Yes,No Education,59.6,41.1,46.7,32.8,46.6,45.36,D,Pass,40–55
STU0182,Female,18,3.3,64.5,8.7,Yes,Yes,High School,37.3,45.3,33.9,25.4,30.4,34.46,F,Fail,Below 40
STU0183,Male,18,2.9,71.7,8.1,Yes,No,Bachelor,51.4,31.9,36.8,19.0,26.9,33.2,F,Fail,Below 40
STU0184,Female,18,6.0,83.9,5.1,Yes,Yes,High School,37.2,51.0,33.8,66.1,52.1,48.04,D,Pass,40–55
STU0185,Female,16,4.6,63.3,5.8,No,No,Bachelor,47.3,48.3,37.2,36.1,46.2,43.02,D,Pass,40–55
STU0186,Female,16,6.4,86.6,8.1,Yes,No,High School,60.9,42.4,52.8,48.2,37.7,48.4,D,Pass,40–55
STU0187,Female,18,5.9,75.1,5.8,No,Yes,Master,38.5,51.7,44.4,55.2,49.6,47.88,D,Pass,40–55
STU0188,Male,18,4.9,73.5,6.7,No,Yes,Master,49.5,36.2,50.5,30.3,39.3,41.16,D,Pass,40–55
STU0189,Female,19,3.3,86.5,7.7,Yes,Yes,High School,41.9,38.0,42.1,31.5,40.1,38.72,F,Fail,Below 40
STU0190,Female,18,2.0,83.3,5.8,No,Yes,High School,31.1,33.5,42.1,33.6,36.6,35.38,F,Fail,Below 40
STU0191,Female,19,4.1,73.7,7.1,Yes,Yes,Bachelor,31.9,25.0,37.0,48.8,37.0,35.94,F,Fail,Below 40
STU0192,Male,17,6.7,91.9,5.4,No,Yes,High School,48.7,47.4,61.0,59.4,53.6,54.02,D,Pass,40–55
STU0193,Female,16,5.4,65.0,6.3,No,Yes,Bachelor,57.6,53.4,52.7,43.7,39.5,49.38,D,Pass,40–55
STU0194,Male,18,2.5,85.4,7.4,Yes,Yes,Master,35.7,43.6,44.8,36.4,43.4,40.78,D,Pass,40–55
STU0195,Male,16,5.3,85.1,5.1,Yes,Yes,Bachelor,53.2,46.4,39.3,50.9,50.3,48.02,D,Pass,40–55
STU0196,Male,16,5.8,74.3,7.5,Yes,Yes,Master,39.0,47.6,43.6,47.4,47.1,44.94,D,Pass,40–55
STU0197,Female,16,3.2,81.9,7.0,No,No,High School,31.3,34.9,35.1,27.2,27.3,31.16,F,Fail,Below 40
STU0198,Female,17,5.3,63.0,7.7,No,Yes,High School,48.8,52.3,43.6,40.6,37.1,44.48,D,Pass,40–55
STU0199,Female,15,5.1,89.1,7.3,No,No,Bachelor,36.4,45.4,52.0,36.5,54.4,44.94,D,Pass,40–55
STU0200,Female,18,2.7,75.8,8.6,No,Yes,High School,30.3,35.7,27.7,34.4,33.9,32.4,F,Fail,Below 40
STU0201,Male,15,5.7,71.7,7.2,Yes,Yes,Bachelor,44.7,54.7,44.9,39.6,49.7,46.72,D,Pass,40–55
STU0202,Female,15,6.1,90.6,6.5,No,Yes,High School,52.6,44.7,37.5,77.1,65.8,55.54,C,Pass,55–70
STU0203,Male,15,7.2,69.5,7.1,No,Yes,High School,48.1,63.6,59.6,49.1,57.8,55.64,C,Pass,55–70
STU0204,Female,16,7.1,61.1,7.7,Yes,Yes,PhD,49.9,33.0,43.2,32.7,47.5,41.26,D,Pass,40–55
STU0205,Female,19,2.2,59.3,7.1,Yes,Yes,High School,32.3,41.4,27.2,25.4,22.7,29.8,F,Fail,Below 40
STU0206,Female,16,3.1,85.3,7.0,Yes,Yes,PhD,44.0,34.7,35.9,43.3,17.7,35.12,F,Fail,Below 40
